REGEX,ENDING,AUX,PPRÉSENT,PPASSÉ,PRÉSENT,IMPARFAIT,PASSÉ,FUTUR,SPRÉSENT,SIMPARFAIT,IMPÉRATIF,CONDITION,INFINITIF
recroître,oître,avoir,oissant,û,"ois,ois,oît,oissons,oissez,oissent","oissais,oissais,oissait,oissions,oissiez,oissaient","us,us,ut,ûmes,ûtes,urent","oîtrai,oîtras,oîtra,oîtrons,oîtrez,oîtront","oisse,oisses,oisse,oissions,oissiez,oissent","usse,usses,ût,ussions,ussiez,ussent",",ois,,oissons,oissez,","oîtrais,oîtrais,oîtrait,oîtrions,oîtriez,oîtraient",oître
renaître,aître,avoir,aissant,,"ais,ais,aît,aissons,aissez,aissent","aissais,aissais,aissait,aissions,aissiez,aissaient","aquis,aquis,aquit,aquîmes,aquîtes,aquirent","aîtrai,aîtras,aîtra,aîtrons,aîtrez,aîtront","aisse,aisses,aisse,aissions,aissiez,aissent","aquisse,aquisses,aquît,aquissions,aquissiez,aquissent",",ais,,aissons,aissez,","aîtrais,aîtrais,aîtrait,aîtrions,aîtriez,aîtraient",aître
repaître,aître,avoir,aissant,u,"ais,ais,aît,aissons,aissez,aissent","aissais,aissais,aissait,aissions,aissiez,aissaient","us,us,ut,ûmes,ûtes,urent","aîtrai,aîtras,aîtra,aîtrons,aîtrez,aîtront","aisse,aisses,aisse,aissions,aissiez,aissent","usse,usses,ût,ussions,ussiez,ussent",",ais,,aissons,aissez,","aîtrais,aîtrais,aîtrait,aîtrions,aîtriez,aîtraient",aître
résoudre,udre,avoir,lvant,lu,"us,us,ut,lvons,lvez,lvent","lvais,lvais,lvait,lvions,lviez,lvaient","lus,lus,lut,lûmes,lûtes,lurent","udrai,udras,udra,udrons,udrez,udront","lve,lves,lve,lvions,lviez,lvent","lusse,lusses,lût,lussions,lussiez,lussent",",us,,lvons,lvez,","udrais,udrais,udrait,udrions,udriez,udraient",udre
sourdre,dre,avoir,,,",,d,,,dent",",,dait,,,daient",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",dre
stupéfaire,aire,avoir,,ait,",,ait,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",aire
suffire,ire,avoir,isant,i,"is,is,it,isons,isez,isent","isais,isais,isait,isions,isiez,isaient","is,is,it,îmes,îtes,irent","irai,iras,ira,irons,irez,iront","ise,ises,ise,isions,isiez,isent","isse,isses,ît,issions,issiez,issent",",is,,isons,isez,","irais,irais,irait,irions,iriez,iraient",ire
taire,aire,avoir,aisant,u,"ais,ais,ait,aisons,aisez,aisent","aisais,aisais,aisait,aisions,aisiez,aisaient","us,us,ut,ûmes,ûtes,urent","airai,airas,aira,airons,airez,airont","aise,aises,aise,aisions,aisiez,aisent","usse,usses,ût,ussions,ussiez,ussent",",ais,,aisons,aisez,","airais,airais,airait,airions,airiez,airaient",aire
tistre,tre,avoir,,su,",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",tre
éclore,ore,avoir,osant,os,",,ot,,,osent",",,,,,",",,,,,",",,ora,,,oront",",,ose,,,osent",",,,,,",",,,,,",",,orait,,,oraient",ore
être,être,avoir,étant,été,"suis,es,est,sommes,êtes,sont","étais,étais,était,étions,étiez,étaient","fus,fus,fut,fûmes,fûtes,furent","serai,seras,sera,serons,serez,seront","sois,sois,soit,soyons,soyez,soient","fusse,fusses,fût,fussions,fussiez,fussent",",sois,,soyons,soyez,","serais,serais,serait,serions,seriez,seraient",être
.*aindre,ndre,avoir,gnant,nt,"ns,ns,nt,gnons,gnez,gnent","gnais,gnais,gnait,gnions,gniez,gnaient","gnis,gnis,gnit,gnîmes,gnîtes,gnirent","ndrai,ndras,ndra,ndrons,ndrez,ndront","gne,gnes,gne,gnions,gniez,gnent","gnisse,gnisses,gnît,gnissions,gnissiez,gnissent",",ns,,gnons,gnez,","ndrais,ndrais,ndrait,ndrions,ndriez,ndraient",ndre
.*battre,ttre,avoir,ttant,ttu,"ts,ts,t,ttons,ttez,ttent","ttais,ttais,ttait,ttions,ttiez,ttaient","ttis,ttis,ttit,ttîmes,ttîtes,ttirent","ttrai,ttras,ttra,ttrons,ttrez,ttront","tte,ttes,tte,ttions,ttiez,ttent","ttisse,ttisses,ttît,ttissions,ttissiez,ttissent",",ts,,ttons,ttez,","ttrais,ttrais,ttrait,ttrions,ttriez,ttraient",ttre
.*iendre|.*eindre,ndre,avoir,gnant,nt,"ns,ns,nt,gnons,gnez,gnent","gnais,gnais,gnait,gnions,gniez,gnaient","gnis,gnis,gnit,gnîmes,gnîtes,gnirent","ndrai,ndras,ndra,ndrons,ndrez,ndront","gne,gnes,gne,gnions,gniez,gnent","gnisse,gnisses,gnît,gnissions,gnissiez,gnissent",",ns,,gnons,gnez,","ndrais,ndrais,ndrait,ndrions,ndriez,ndraient",ndre
.*prendre,endre,avoir,enant,is,"ends,ends,end,enons,enez,ennent","enais,enais,enait,enions,eniez,enaient","is,is,it,îmes,îtes,irent","endrai,endras,endra,endrons,endrez,endront","enne,ennes,enne,enions,eniez,ennent","isse,isses,ît,issions,issiez,issent",",ends,,enons,enez,","endrais,endrais,endrait,endrions,endriez,endraient",endre
