REGEX,ENDING,AUX,PPRÉSENT,PPASSÉ,PRÉSENT,IMPARFAIT,PASSÉ,FUTUR,SPRÉSENT,SIMPARFAIT,IMPÉRATIF,CONDITION,INFINITIF
rapiécer,écer,avoir,éçant,écé,"èce,èces,èce,éçons,écez,ècent","éçais,éçais,éçait,écions,éciez,éçaient","éçai,éças,éça,éçâmes,éçâtes,écèrent","écerai,éceras,écera,écerons,écerez,éceront","èce,èces,èce,écions,éciez,ècent","éçasse,éçasses,éçât,éçassions,éçassiez,éçassent",",èce,,éçons,écez,","écerais,écerais,écerait,écerions,éceriez,éceraient",écer
résulter,er,avoir,ant,é,",,e,,,",",,ait,,,",",,a,,,",",,era,,,",",,e,,,",",,ât,,,",",,,,,",",,erait,,,",er
urger,er,avoir,eant,é,",,e,,,",",,eait,,,",",,ea,,,",",,era,,,",",,e,,,",",,eât,,,",",,,,,",",,erait,,,",er
.*ayer,yer,avoir,yant,yé,"ie|ye,ies|yes,ie|ye,yons,yez,ient|yent","yais,yais,yait,yions,yiez,yaient","yai,yas,ya,yâmes,yâtes,yèrent","ierai|yerai,ieras|yeras,iera|yera,ierons|yerons,ierez|yerez,ieront|yeront","ie|ye,ies|yes,ie|ye,yions,yiez,ient|yent","yasse,yasses,yât,yassions,yassiez,yassent",",ye|ie,,yons,yez,","ierais|yerais,ierais|yerais,ierait|yerait,ierions|yerions,ieriez|yeriez,ieraient|yeraient",yer
.*cer,cer,avoir,çant,cé,"ce,ces,ce,çons,cez,cent","çais,çais,çait,cions,ciez,çaient","çai,ças,ça,çâmes,çâtes,cèrent","cerai,ceras,cera,cerons,cerez,ceront","ce,ces,ce,cions,ciez,cent","çasse,çasses,çât,çassions,çassiez,çassent",",ce,,çons,cez,","cerais,cerais,cerait,cerions,ceriez,ceraient",cer
.*e[lt]er,e([lt])er,avoir,e\1ant,e\1é,"e\1\1e,e\1\1es,e\1\1e,e\1ons,e\1ez,e\1\1ent","e\1ais,e\1ais,e\1ait,e\1ions,e\1iez,e\1aient","e\1ai,e\1as,e\1a,e\1âmes,e\1âtes,e\1èrent","e\1\1erai,e\1\1eras,e\1\1era,e\1\1erons,e\1\1erez,e\1\1eront","e\1\1e,e\1\1es,e\1\1e,e\1ions,e\1iez,e\1\1ent","e\1asse,e\1asses,e\1ât,e\1assions,e\1assiez,e\1assent",",e\1\1e,,e\1ons,e\1ez,","e\1\1erais,e\1\1erais,e\1\1erait,e\1\1erions,e\1\1eriez,e\1\1eraient",e\1er
.*e[mnprsv]er,e([mnprsv])er,avoir,e\1ant,e\1é,"è\1e,è\1es,è\1e,e\1ons,e\1ez,è\1ent","e\1ais,e\1ais,e\1ait,e\1ions,e\1iez,e\1aient","e\1ai,e\1as,e\1a,e\1âmes,e\1âtes,e\1èrent","è\1erai,è\1eras,è\1era,è\1erons,è\1erez,è\1eront","è\1e,è\1es,è\1e,e\1ions,e\1iez,è\1ent","e\1asse,e\1asses,e\1ât,e\1assions,e\1assiez,e\1assent",",è\1e,,e\1ons,e\1ez,","è\1erais,è\1erais,è\1erait,è\1erions,è\1eriez,è\1eraient",e\1er
.*evrer,evrer,avoir,evrant,evré,"èvre,èvres,èvre,evrons,evrez,èvrent","evrais,evrais,evrait,evrions,evriez,evraient","evrai,evras,evra,evrâmes,evrâtes,evrèrent","èvrerai,èvreras,èvrera,èvrerons,èvrerez,èvreront","èvre,èvres,èvre,evrions,evriez,èvrent","evrasse,evrasses,evrât,evrassions,evrassiez,evrassent",",èvre,,evrons,evrez,","èvrerais,èvrerais,èvrerait,èvrerions,èvreriez,èvreraient",evrer
.*neiger,er,avoir,eant,é,",,e,,,ent",",,eait,,,eaient",",,ea,,,èrent",",,era,,,eront",",,e,,,ent",",,eât,,,eassent",",,,,,",",,erait,,,eraient",er
.*oyer|.*uyer,yer,avoir,yant,yé,"ie,ies,ie,yons,yez,ient","yais,yais,yait,yions,yiez,yaient","yai,yas,ya,yâmes,yâtes,yèrent","ierai,ieras,iera,ierons,ierez,ieront","ie,ies,ie,yions,yiez,ient","yasse,yasses,yât,yassions,yassiez,yassent",",ie,,yons,yez,","ierais,ierais,ierait,ierions,ieriez,ieraient",yer
.*é[bctv]rer,é([bctv])rer,avoir,é\1rant,é\1ré,"è\1re,è\1res,è\1re,é\1rons,é\1rez,è\1rent","é\1rais,é\1rais,é\1rait,é\1rions,é\1riez,é\1raient","é\1rai,é\1ras,é\1ra,é\1râmes,é\1râtes,é\1rèrent","é\1rerai,é\1reras,é\1rera,é\1rerons,é\1rerez,é\1reront","è\1re,è\1res,è\1re,é\1rions,é\1riez,è\1rent","é\1rasse,é\1rasses,é\1rât,é\1rassions,é\1rassiez,é\1rassent",",è\1re,,é\1rons,é\1rez,","é\1rerais,é\1rerais,é\1rerait,é\1rerions,é\1reriez,é\1reraient",é\1rer
.*é[djlmnprsty]er,é([djlmnprsty])er,avoir,é\1ant,é\1é,"è\1e,è\1es,è\1e,é\1ons,é\1ez,è\1ent","é\1ais,é\1ais,é\1ait,é\1ions,é\1iez,é\1aient","é\1ai,é\1as,é\1a,é\1âmes,é\1âtes,é\1èrent","é\1erai,é\1eras,é\1era,é\1erons,é\1erez,é\1eront","è\1e,è\1es,è\1e,é\1ions,é\1iez,è\1ent","é\1asse,é\1asses,é\1ât,é\1assions,é\1assiez,é\1assent",",è\1e,,é\1ons,é\1ez,","é\1erais,é\1erais,é\1erait,é\1erions,é\1eriez,é\1eraient",é\1er
.*écher,écher,avoir,échant,éché,"èche,èches,èche,échons,échez,èchent","échais,échais,échait,échions,échiez,échaient","échai,échas,écha,échâmes,échâtes,échèrent","écherai,écheras,échera,écherons,écherez,écheront","èche,èches,èche,échions,échiez,èchent","échasse,échasses,échât,échassions,échassiez,échassent",",èche,,échons,échez,","écherais,écherais,écherait,écherions,écheriez,écheraient",écher
.*ég[lnru]er,ég([lnru])er,avoir,ég\1ant,ég\1é,"èg\1e,èg\1es,èg\1e,ég\1ons,ég\1ez,èg\1ent","ég\1ais,ég\1ais,ég\1ait,ég\1ions,ég\1iez,ég\1aient","ég\1ai,ég\1as,ég\1a,ég\1âmes,ég\1âtes,ég\1èrent","ég\1erai,ég\1eras,ég\1era,ég\1erons,ég\1erez,ég\1eront","èg\1e,èg\1es,èg\1e,ég\1ions,ég\1iez,èg\1ent","ég\1asse,ég\1asses,ég\1ât,ég\1assions,ég\1assiez,ég\1assent",",èg\1e,,ég\1ons,ég\1ez,","ég\1erais,ég\1erais,ég\1erait,ég\1erions,ég\1eriez,ég\1eraient",ég\1er
.*éger,éger,avoir,égeant,égé,"ège,èges,ège,égeons,égez,ègent","égeais,égeais,égeait,égions,égiez,égeaient","égeai,égeas,égea,égeâmes,égeâtes,égèrent","égerai,égeras,égera,égerons,égerez,égeront","ège,èges,ège,égions,égiez,ègent","égeasse,égeasses,égeât,égeassions,égeassiez,égeassent",",ège,,égeons,égez,","égerais,égerais,égerait,égerions,égeriez,égeraient",éger
.*équer,équer,avoir,équant,équé,"èque,èques,èque,équons,équez,èquent","équais,équais,équait,équions,équiez,équaient","équai,équas,équa,équâmes,équâtes,équèrent","équerai,équeras,équera,équerons,équerez,équeront","èque,èques,èque,équions,équiez,èquent","équasse,équasses,équât,équassions,équassiez,équassent",",èque,,équons,équez,","équerais,équerais,équerait,équerions,équeriez,équeraient",équer
.*ger,er,avoir,eant,é,"e,es,e,eons,ez,ent","eais,eais,eait,ions,iez,eaient","eai,eas,ea,eâmes,eâtes,èrent","erai,eras,era,erons,erez,eront","e,es,e,ions,iez,ent","easse,easses,eât,eassions,eassiez,eassent",",e,,eons,ez,","erais,erais,erait,erions,eriez,eraient",er
.*er,er,avoir,ant,é,"e,es,e,ons,ez,ent","ais,ais,ait,ions,iez,aient","ai,as,a,âmes,âtes,èrent","erai,eras,era,erons,erez,eront","e,es,e,ions,iez,ent","asse,asses,ât,assions,assiez,assent",",e,,ons,ez,","erais,erais,erait,erions,eriez,eraient",er
advenir,enir,avoir,enant,enu,",,ient,,,iennent",",,enait,,,enaient",",,int,,,inrent",",,iendra,,,iendront",",,ienne,,,iennent",",,înt,,,inssent",",,,,,",",,iendrait,,,iendraient",enir
apparoir,aroir,avoir,,,",,ert,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",aroir
asservir|répartir,ir,avoir,issant,i,"is,is,it,issons,issez,issent","issais,issais,issait,issions,issiez,issaient","is,is,it,îmes,îtes,irent","irai,iras,ira,irons,irez,iront","isse,isses,isse,issions,issiez,issent","isse,isses,ît,issions,issiez,issent",",is,,issons,issez,","irais,irais,irait,irions,iriez,iraient",ir
avenir,enir,avoir,enant,,",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",enir
avoir,avoir,avoir,ayant,eu,"ai,as,a,avons,avez,ont","avais,avais,avait,avions,aviez,avaient","eus,eus,eut,eûmes,eûtes,eurent","aurai,auras,aura,aurons,aurez,auront","aie,aies,ait,ayons,ayez,aient","eusse,eusses,eût,eussions,eussiez,eussent",",aie,,ayons,ayez,","aurais,aurais,aurait,aurions,auriez,auraient",avoir
bienvenir,enir,avoir,,enu,",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",enir
bénir,ir,avoir,issant,i|it,"is,is,it,issons,issez,issent","issais,issais,issait,issions,issiez,issaient","is,is,it,îmes,îtes,irent","irai,iras,ira,irons,irez,iront","isse,isses,isse,issions,issiez,issent","isse,isses,ît,issions,issiez,issent",",is,,issons,issez,","irais,irais,irait,irions,iriez,iraient",ir
chaloir,loir,avoir,,,",,ut,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",loir
choir,oir,avoir,,u,"ois,ois,oit,ons,oyez,oient",",,,,,","us,us,ut,ûmes,ûtes,urent","oirai|errai,oiras|erras,oira|erra,oirons|errons,oirez|errez,oiront|erront",",,,,,",",,ût,,,",",,,,,","oirais|errais,oirais|errais,oirait|errait,oirions|errions,oiriez|erriez,oiraient|erraient",oir
circonvenir|contrevenir|prévenir|subvenir|.*tenir,enir,avoir,enant,enu,"iens,iens,ient,enons,enez,iennent","enais,enais,enait,enions,eniez,enaient","ins,ins,int,înmes,întes,inrent","iendrai,iendras,iendra,iendrons,iendrez,iendront","ienne,iennes,ienne,enions,eniez,iennent","insse,insses,înt,inssions,inssiez,inssent",",iens,,enons,enez,","iendrais,iendrais,iendrait,iendrions,iendriez,iendraient",enir
convenir,enir,avoir,enant,enu,"iens,iens,ient,enons,enez,iennent","enais,enais,enait,enions,eniez,enaient","ins,ins,int,înmes,întes,inrent","iendrai,iendras,iendra,iendrons,iendrez,iendront","ienne,iennes,ienne,enions,eniez,iennent","insse,insses,înt,inssions,inssiez,inssent",",iens,,enons,enez,","iendrais,iendrais,iendrait,iendrions,iendriez,iendraient",enir
déchoir,oir,avoir,,u,"ois,ois,oit|et,oyons,oyez,oient",",,,,,","us,us,ut,ûmes,ûtes,urent","oirai|errai,oiras|erras,oira|erra,oirons|errons,oirez|errez,oiront|erront","oie,oies,oie,oyions,oyiez,oient","usse,usses,ût,ussions,ussiez,ussent",",,,,,","oirais|errais,oirais|errais,oirait|errait,oirions|errions,oiriez|erriez,oiraient|erraient",oir
défaillir,illir,avoir,illant,illi,"ille|us,illes|us,ille|ut,illons,illez,illent","illais,illais,illait,illions,illiez,illaient","illis,illis,illit,illîmes,illîtes,illirent","illirai|udrai,illiras|udras,illira|udra,illirons,illirez,illiront","ille,illes,ille,illions,illiez,illent","illisse,illisses,illît,illissions,illissiez,illissent",",ille,,illons,illez,","illirais,illirais,illirait,illirions,illiriez,illiraient",illir
départir,tir,avoir,tant|tissant,ti,"s,s,t|tit,tons,tez,tent","tais,tais,tait|tissait,tions,tiez,taient","tis,tis,tit,tîmes,tîtes,tirent","tirai,tiras,tira,tirons,tirez,tiront","te,tes,te,tions,tiez,tent","tisse,tisses,tît,tissions,tissiez,tissent",",s,,tons,tez,","tirais,tirais,tirait,tirions,tiriez,tiraient",tir
dépourvoir,oir,avoir,,u,",,,,,",",,,,,","us,us,ut,ûmes,ûtes,urent",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",oir
faillir,illir,avoir,illant,illi,"ille|ux,illes|ux,ille|ut,illons,illez,illent","illais,illais,illait,illions,illiez,illaient","illis,illis,illit,illîmes,illîtes,illirent","illirai|udrai,illiras|udras,illira|udra,illirons,illirez,illiront","ille,illes,ille,illions,illiez,illent","illisse,illisses,illît,illissions,illissiez,illissent",",ille,,illons,illez,","illirais|udrais,illirais,illirait,illirions,illiriez,illiraient",illir
falloir,lloir,avoir,,llu,",,ut,,,",",,llait,,,",",,llut,,,",",,udra,,,",",,ille,,,",",,llût,,,",",,,,,",",,udrait,,,",lloir
férir,ir,avoir,,u,",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",ir
gésir,ésir,avoir,isant,,"is,is,ît,isons,isez,isent","isais,isais,isait,isions,isiez,isaient",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",ésir
huir,ir,avoir,,i,"is,is,it,issons,issez,issent",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",ir
impartir,ir,avoir,,i,"is,is,it,issons,issez,issent",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",ir
issir,ir,avoir,,u,",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",ir
mentir,tir,avoir,tant,ti,"s,s,t,tons,tez,tent","tais,tais,tait,tions,tiez,taient","tis,tis,tit,tîmes,tîtes,tirent","tirai,tiras,tira,tirons,tirez,tiront","te,tes,te,tions,tiez,tent","tisse,tisses,tît,tissions,tissiez,tissent",",s,,tons,tez,","tirais,tirais,tirait,tirions,tiriez,tiraient",tir
messeoir,eoir,avoir,éant,,",,ied,,,iéent",",,eyait,,,eyaient",",,,,,",",,iéra,,,iéront",",,iée,,,iéent",",,,,,",",,,,,",",,iérait,,,iéraient",eoir
mourir,ourir,être,ourant,ort,"eurs,eurs,eurt,ourons,ourez,eurent","ourais,ourais,ourait,ourions,ouriez,ouraient","ourus,ourus,ourut,ourûmes,ourûtes,oururent","ourrai,ourras,ourra,ourrons,ourrez,ourront","eure,eures,eure,ourions,ouriez,eurent","ourusse,ourusses,ourût,ourussions,ourussiez,ourussent",",eurs,,ourons,ourez,","ourrais,ourrais,ourrait,ourrions,ourriez,ourraient",ourir
mouvoir,ouvoir,avoir,ouvant,û|u,"eus,eus,eut,ouvons,ouvez,euvent","ouvais,ouvais,ouvait,ouvions,ouviez,ouvaient","us,us,ut,ûmes,ûtes,urent","ouvrai,ouvras,ouvra,ouvrons,ouvrez,ouvront","euve,euves,euve,ouvions,ouviez,euvent","usse,usses,ût,ussions,ussiez,ussent",",eus,,ouvons,ouvez,","ouvrais,ouvrais,ouvrait,ouvrions,ouvriez,ouvraient",ouvoir
ouïr,uïr,avoir,yant,uï,"is,is,it,yons,yez,ient","yais,yais,yait,yions,yiez,yaient","uïs,uïs,uït,uïmes,uïtes,uïrent","uïrai|rrai|irai,uïras|rras,uïra|rra,uïrons|rrons,uïrez|rrez,uïront|rront","ie,ies,ie,yions,yiez,ient","uïsse,uïsses,uït,uïssions,uïssiez,uïssent",",is,,yons,yez,","uïrais|rrais|irais,uïrais|rrais,uïrait|rrait,uïrions|rrions,uïriez|rriez,uïraient|rraient",uïr
partir,tir,être,tant,ti,"s,s,t,tons,tez,tent","tais,tais,tait,tions,tiez,taient","tis,tis,tit,tîmes,tîtes,tirent","tirai,tiras,tira,tirons,tirez,tiront","te,tes,te,tions,tiez,tent","tisse,tisses,tît,tissions,tissiez,tissent",",s,,tons,tez,","tirais,tirais,tirait,tirions,tiriez,tiraient",tir
pouvoir,ouvoir,avoir,ouvant,u,"eux,eux,eut,ouvons,ouvez,euvent","ouvais,ouvais,ouvait,ouvions,ouviez,ouvaient","us,us,ut,ûmes,ûtes,urent","ourrai,ourras,ourra,ourrons,ourrez,ourront","uisse,uisses,uisse,uissions,uissiez,uissent","usse,usses,ût,ussions,ussiez,ussent",",,,,,","ourrais,ourrais,ourrait,ourrions,ourriez,ourraient",ouvoir
prévaloir,loir,avoir,lant,lu,"ux,ux,ut,lons,lez,lent","lais,lais,lait,lions,liez,laient","lus,lus,lut,lûmes,lûtes,lurent","udrai,udras,udra,udrons,udrez,udront","le,les,le,lions,liez,lent","lusse,lusses,lût,lussions,lussiez,lussent",",ux,,lons,lez,","udrais,udrais,udrait,udrions,udriez,udraient",loir
prévoir,oir,avoir,oyant,u,"ois,ois,oit,oyons,oyez,oient","oyais,oyais,oyait,oyions,oyiez,oyaient","is,is,it,îmes,îtes,irent","oirai,oiras,oira,oirons,oirez,oiront","oie,oies,oie,oyions,oyiez,oient","isse,isses,ît,issions,issiez,issent",",ois,,oyons,oyez,","oirais,oirais,oirait,oirions,oiriez,oiraient",oir
rassir,ir,avoir,,is,",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",ir
repentir,tir,être,tant,ti,"s,s,t,tons,tez,tent","tais,tais,tait,tions,tiez,taient","tis,tis,tit,tîmes,tîtes,tirent","tirai,tiras,tira,tirons,tirez,tiront","te,tes,te,tions,tiez,tent","tisse,tisses,tît,tissions,tissiez,tissent",",s,,tons,tez,","tirais,tirais,tirait,tirions,tiriez,tiraient",tir
ressortir|.*mentir|.*sentir|.*partir,tir,avoir,tant,ti,"s,s,t,tons,tez,tent","tais,tais,tait,tions,tiez,taient","tis,tis,tit,tîmes,tîtes,tirent","tirai,tiras,tira,tirons,tirez,tiront","te,tes,te,tions,tiez,tent","tisse,tisses,tît,tissions,tissiez,tissent",",s,,tons,tez,","tirais,tirais,tirait,tirions,tiriez,tiraient",tir
revaloir,loir,avoir,,,",,,,,",",,,,,",",,,,,","udrai,udras,udra,udrons,udrez,udront",",,,,,",",,,,,",",,,,,","udrais,udrais,udrait,udrions,udriez,udraient",loir
saillir,ir,avoir,ant,i,",,e,,,ent",",,ait|issait,,,aient",",,it,,,irent",",,era,,,eront",",,e|isse,,,ent",",,ît,,,issent",",,,,,",",,erait,,,eraient",ir
sortir,tir,avoir,tant,ti,"s,s,t,tons,tez,tent","tais,tais,tait,tions,tiez,taient","tis,tis,tit,tîmes,tîtes,tirent","tirai,tiras,tira,tirons,tirez,tiront","te,tes,te,tions,tiez,tent","tisse,tisses,tît,tissions,tissiez,tissent",",s,,tons,tez,","tirais,tirais,tirait,tirions,tiriez,tiraient",tir
surseoir,eoir,avoir,oyant,is,"ois,ois,oit,oyons,oyez,oient","oyais,oyais,oyait,oyions,oyiez,oyaient","is,is,it,îmes,îtes,irent","eoirai,eoiras,eoira,eoirons,eoirez,eoiront","oie,oies,oie,oyions,oyiez,oient","isse,isses,ît,issions,issiez,issent",",ois,,oyons,oyez,","eoirais,eoirais,eoirait,eoirions,eoiriez,eoiraient",eoir
vêtir,tir,avoir,tant,tu,"ts,ts,t,tons,tez,tent","tais,tais,tait,tions,tiez,taient","tis,tis,tit,tîmes,tîtes,tirent","tirai,tiras,tira,tirons,tirez,tiront","te,tes,te,tions,tiez,tent","tisse,tisses,tît,tissions,tissiez,tissent",",ts,,tons,tez,","tirais,tirais,tirait,tirions,tiriez,tiraient",tir
échoir,oir,avoir,éant,u,",,oit|et,,,oient|éent",",,oyait,,,oyaient",",,ut,,,urent",",,oira|erra,,,oiront|erront",",,oie,,,oient",",,ût,,,ussent",",,,,,",",,oirait|errait,,,oiraient|erraient",oir
.*asseoir,eoir,avoir,eyant|oyant,is,"ieds|ois,ieds|ois,ied|oit,eyons|oyons,eyez|oyez,eyent|oient","eyais|oyais,eyais|oyais,eyait|oyait,eyions|oyions,eyiez|oyiez,eyaient|oyaient","is,is,it,îmes,îtes,irent","iérai|oirai,iéras|oiras,iéra|oira,iérons|oirons,iérez|oirez,iéront|oiront","eye|oie,eyes|oies,eye|oie,eyions|oyions,eyiez|oyiez,eyent|oient","isse,isses,ît,issions,issiez,issent",",ieds|ois,,eyons|oyons,eyez|oyez,","iérais|oirais,iérais|oirais,iérait|oirait,iérions|oirions,iériez|oiriez,iéraient|oiraient",eoir
.*assoir,oir,avoir,oyant,is,"ois,ois,oit,oyons,oyez,oient","oyais,oyais,oyait,oyions,oyiez,oyaient","is,is,it,îmes,îtes,irent","oirai,oiras,oira,oirons,oirez,oiront","oie,oies,oie,oyions,oyiez,oient","isse,isses,ît,issions,issiez,issent",",ois,,oyons,oyez,","oirais,oirais,oirait,oirions,oiriez,oiraient",oir
.*bouillir,illir,avoir,illant,illi,"s,s,t,illons,illez,illent","illais,illais,illait,illions,illiez,illaient","illis,illis,illit,illîmes,illîtes,illirent","illirai,illiras,illira,illirons,illirez,illiront","ille,illes,ille,illions,illiez,illent","illisse,illisses,illît,illissions,illissiez,illissent",",s,,illons,illez,","illirais,illirais,illirait,illirions,illiriez,illiraient",illir
.*cevoir,cevoir,avoir,cevant,çu,"çois,çois,çoit,cevons,cevez,çoivent","cevais,cevais,cevait,cevions,ceviez,cevaient","çus,çus,çut,çûmes,çûtes,çurent","cevrai,cevras,cevra,cevrons,cevrez,cevront","çoive,çoives,çoive,cevions,ceviez,çoivent","çusse,çusses,çût,çussions,çussiez,çussent",",çois,,cevons,cevez,","cevrais,cevrais,cevrait,cevrions,cevriez,cevraient",cevoir
.*courir,ir,avoir,ant,u,"s,s,t,ons,ez,ent","ais,ais,ait,ions,iez,aient","us,us,ut,ûmes,ûtes,urent","rai,ras,ra,rons,rez,ront","e,es,e,ions,iez,ent","usse,usses,ût,ussions,ussiez,ussent",",s,,ons,ez,","rais,rais,rait,rions,riez,raient",ir
.*cueillir,ir,avoir,ant,i,"e,es,e,ons,ez,ent","ais,ais,ait,ions,iez,aient","is,is,it,îmes,îtes,irent","erai,eras,era,erons,erez,eront","e,es,e,ions,iez,ent","isse,isses,ît,issions,issiez,issent",",e,,ons,ez,","erais,erais,erait,erions,eriez,eraient",ir
.*devoir,evoir,avoir,evant,û,"ois,ois,oit,evons,evez,oivent","evais,evais,evait,evions,eviez,evaient","us,us,ut,ûmes,ûtes,urent","evrai,evras,evra,evrons,evrez,evront","oive,oives,oive,evions,eviez,oivent","usse,usses,ût,ussions,ussiez,ussent",",ois,,evons,evez,","evrais,evrais,evrait,evrions,evriez,evraient",evoir
.*endormir|redormir,mir,avoir,mant,mi,"s,s,t,mons,mez,ment","mais,mais,mait,mions,miez,maient","mis,mis,mit,mîmes,mîtes,mirent","mirai,miras,mira,mirons,mirez,miront","me,mes,me,mions,miez,ment","misse,misses,mît,missions,missiez,missent",",s,,mons,mez,","mirais,mirais,mirait,mirions,miriez,miraient",mir
.*dormir,mir,avoir,mant,mi,"s,s,t,mons,mez,ment","mais,mais,mait,mions,miez,maient","mis,mis,mit,mîmes,mîtes,mirent","mirai,miras,mira,mirons,mirez,miront","me,mes,me,mions,miez,ment","misse,misses,mît,missions,missiez,missent",",s,,mons,mez,","mirais,mirais,mirait,mirions,miriez,miraient",mir
.*fuir,ir,avoir,yant,i,"is,is,it,yons,yez,ient","yais,yais,yait,yions,yiez,yaient","is,is,it,îmes,îtes,irent","irai,iras,ira,irons,irez,iront","ie,ies,ie,yions,yiez,ient","isse,isses,ît,issions,issiez,issent",",is,,yons,yez,","irais,irais,irait,irions,iriez,iraient",ir
.*haïr,ïr,avoir,ïssant,ï,"is,is,it,ïssons,ïssez,ïssent","ïssais,ïssais,ïssait,ïssions,ïssiez,ïssaient","ïs,ïs,ït,ïmes,ïtes,ïrent","ïrai,ïras,ïra,ïrons,ïrez,ïront","ïsse,ïsses,ïsse,ïssions,ïssiez,ïssent","ïsse,ïsses,ït,ïssions,ïssiez,ïssent",",is,,ïssons,ïssez,","ïrais,ïrais,ïrait,ïrions,ïriez,ïraient",ïr
.*mouvoir,ouvoir,avoir,ouvant,u,"eus,eus,eut,ouvons,ouvez,euvent","ouvais,ouvais,ouvait,ouvions,ouviez,ouvaient","us,us,ut,ûmes,ûtes,urent","ouvrai,ouvras,ouvra,ouvrons,ouvrez,ouvront","euve,euves,euve,ouvions,ouviez,euvent","usse,usses,ût,ussions,ussiez,ussent",",eus,,ouvons,ouvez,","ouvrais,ouvrais,ouvrait,ouvrions,ouvriez,ouvraient",ouvoir
.*ouvrir|.*frir,rir,avoir,rant,ert,"re,res,re,rons,rez,rent","rais,rais,rait,rions,riez,raient","ris,ris,rit,rîmes,rîtes,rirent","rirai,riras,rira,rirons,rirez,riront","re,res,re,rions,riez,rent","risse,risses,rît,rissions,rissiez,rissent",",re,,rons,rez,","rirais,rirais,rirait,ririons,ririez,riraient",rir
.*pleuvoir,euvoir,avoir,euvant,u,",,eut,,,",",,euvait,,,",",,ut,,,",",,euvra,,,",",,euve,,,",",,ût,,,",",,,,,",",,euvrait,,,",euvoir
.*pourvoir,oir,avoir,oyant,u,"ois,ois,oit,oyons,oyez,oient","oyais,oyais,oyait,oyions,oyiez,oyaient","us,us,ut,ûmes,ûtes,urent","oirai,oiras,oira,oirons,oirez,oiront","oie,oies,oie,oyions,oyiez,oient","usse,usses,ût,ussions,ussiez,ussent",",ois,,oyons,oyez,","oirais,oirais,oirait,oirions,oiriez,oiraient",oir
.*quérir,érir,avoir,érant,is,"iers,iers,iert,érons,érez,ièrent","érais,érais,érait,érions,ériez,éraient","is,is,it,îmes,îtes,irent","errai,erras,erra,errons,errez,erront","ière,ières,ière,érions,ériez,ièrent","isse,isses,ît,issions,issiez,issent",",iers,,érons,érez,","errais,errais,errait,errions,erriez,erraient",érir
.*saillir,ir,avoir,ant,i,"e,es,e,ons,ez,ent","ais,ais,ait,ions,iez,aient","is,is,it,îmes,îtes,irent","irai,iras,ira,irons,irez,iront","e,es,e,ions,iez,ent","isse,isses,ît,issions,issiez,issent",",e,,ons,ez,","irais,irais,irait,irions,iriez,iraient",ir
.*savoir,avoir,avoir,achant,u,"ais,ais,ait,avons,avez,avent","avais,avais,avait,avions,aviez,avaient","us,us,ut,ûmes,ûtes,urent","aurai,auras,aura,aurons,aurez,auront","ache,aches,ache,achions,achiez,achent","usse,usses,ût,ussions,ussiez,ussent",",ache,,achons,achez,","aurais,aurais,aurait,aurions,auriez,auraient",avoir
.*seoir,eoir,avoir,éant|eyant,is,",,ied,,,iéent",",,eyait,,,eyaient",",,,,,",",,iéra,,,iéront",",,iée,,,iéent",",,,,,",",,,,,",",,iérait,,,iéraient",eoir
.*servir,vir,avoir,vant,vi,"s,s,t,vons,vez,vent","vais,vais,vait,vions,viez,vaient","vis,vis,vit,vîmes,vîtes,virent","virai,viras,vira,virons,virez,viront","ve,ves,ve,vions,viez,vent","visse,visses,vît,vissions,vissiez,vissent",",s,,vons,vez,","virais,virais,virait,virions,viriez,viraient",vir
.*valoir,loir,avoir,lant,lu,"ux,ux,ut,lons,lez,lent","lais,lais,lait,lions,liez,laient","lus,lus,lut,lûmes,lûtes,lurent","udrai,udras,udra,udrons,udrez,udront","ille,illes,ille,lions,liez,illent","lusse,lusses,lût,lussions,lussiez,lussent",",ux,,lons,lez,","udrais,udrais,udrait,udrions,udriez,udraient",loir
.*venir,enir,être,enant,enu,"iens,iens,ient,enons,enez,iennent","enais,enais,enait,enions,eniez,enaient","ins,ins,int,înmes,întes,inrent","iendrai,iendras,iendra,iendrons,iendrez,iendront","ienne,iennes,ienne,enions,eniez,iennent","insse,insses,înt,inssions,inssiez,inssent",",iens,,enons,enez,","iendrais,iendrais,iendrait,iendrions,iendriez,iendraient",enir
